p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,predicted,elapsed_sec
 , , ,16,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.398204,0.516042771966192,2927.555534362793
 , , ,16,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.4696035,0.5160622179433446,2965.8133244514465
 , , ,4,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),5.399824499999999,0.5162040706566527,3022.3301401138306
 , , ,4,100,4, , , , ,3.7393475,0.5162433275254704,3063.518095970154
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.2176395,0.5162716334949295,3088.606589317322
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.5826,0.5164024718137283,3117.316055059433
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.9292695,0.516615012577652,3148.880522251129
 , , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.04972,0.5167408541498528,3190.5202403068542
 , , ,16,128,4, , , , ,2.356972,0.5169789710083849,3217.004413127899
 , , ,16,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.7927485,0.5169808669391448,3265.5032947063446
 , , ,80,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.269364,0.5169979745493277,3290.951486825943
 , , ,100,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.199716,0.5169992267245455,3334.169984102249
 , , ,4,128,4, , , , ,3.622626,0.5172237836252687,3375.1586599349976
 , , ,4,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,5.827494,0.5178137078282093,3435.871351242065
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.757158,0.5179434884977248,3495.662297964096
 , , ,8,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.9632115,0.5180649615780433,3545.666074037552
 , , ,16,8,4, , , , ,7.548947999999999,0.5182010022779301,3621.68890285492
 , , ,100,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.5762025,0.5184402506654165,3650.1956799030304
 , , ,32,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.2249915,0.518611288714064,3675.3310208320618
 , , ,4,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),6.4471265,0.5188335401957032,3740.889103889465
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.311123,0.5188938334190835,3766.9942960739136
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.3075805,0.5189032264014304,3792.929947853088
 , , ,80,4,4, , , , ,5.0103765,0.5189053420356395,3844.532191753388
 , , ,16,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.1547555,0.5189385885942241,3887.7404193878174
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.447274999999999,0.5189714101845284,3932.908057928085
 , , ,4,4,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),8.3027,0.5190623772197968,4014.498031377792
 , , ,80,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.898748,0.5193142438774284,4054.999070644378
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.240671,0.5194601682093356,4089.5424284935
 , , ,4,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.619834,0.5195001058605834,4130.264337301254
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.918091,0.5196123526441045,4179.283891439438
 , , ,100,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.3200745000000005,0.5197393648952117,4233.685816049576
 , , ,100,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),5.505606500000001,0.5199599550941223,4287.061174154282
 , , ,4,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.809006,0.5201299738833833,4329.668296098709
 , , ,80,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.2932525,0.520205997193431,4355.765285730362
 , , ,16,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.502989,0.520371016663454,4383.815848588944
 , , ,4,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.379085,0.5204915671980076,4422.117193937302
 , , ,100,8,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,5.163024999999999,0.5206599457471314,4475.904770374298
 , , ,128,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.562912,0.5206679233713427,4504.34175658226
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.112377,0.5206721128045714,4546.850647211075
 , , ,20,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.2503405,0.5207317706506602,4590.131678342819
 , , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.290903,0.5207426452089436,4615.69958281517
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.4009925,0.5208259764937191,4660.669372558594
 , , ,100,4,4, , , , ,5.069767,0.5208506917220379,4713.071349859238
 , , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),6.0236160000000005,0.5209228936321525,4774.81733417511
 , , ,96,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.5701165,0.5209712529586042,4803.314280509949
 , , ,4,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.814935,0.5210049909278218,4864.044852256775
 , , ,96,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.198856,0.5210194662268127,4907.254401922226
 , , ,4,4,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),7.993635,0.5211481329180034,4986.125968456268
 , , ,4,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),6.440125,0.5212269409523443,5051.785364866257
 , , ,80,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.092913,0.5212570370440244,5093.905670404434
 , , ,16,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.768975,0.5212849939315154,5124.23449254036
 , , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.7254305,0.5213570135524803,5165.180971860886
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.920468,0.5214936702010272,5208.190648794174
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.128389,0.5215058865893955,5250.617876052856
 , , ,4,4,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,8.6423385,0.5215576877614333,5335.10911154747
 , , ,16,64,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.6009130000000003,0.5215818990654495,5363.845418691635
 , , ,80,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.539582,0.5215955219720492,5391.959620237351
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.4142815,0.5216442335569381,5419.098288536072
 , , ,4,8,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,9.8052265,0.5216515514456573,5517.341197729111
 , , ,16,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.167759,0.5217249445814117,5551.252220392227
 , , ,4,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,4.087214,0.521734702698524,5596.218022584915
 , , ,96,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.2775545,0.5217777855242571,5621.894922018051
 , , ,96,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.3682825000000003,0.5218374717148939,5648.564992427826
 , , ,20,80,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.189005,0.5218930292164101,5691.073254346848
 , , ,100,2048,4, , , , ,2.2689445,0.5218987272994662,5716.909185409546
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),5.4507375,0.5219526267896899,5772.95748257637
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.1826765,0.5220054427182679,5797.741032361984
 , , ,4,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,8.8259665,0.5220086288420598,5883.856249332428
 , , ,100,20,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.320183500000001,0.522087020227908,5928.366586208344
 , , ,100,16,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.05859,0.5221387549908783,5969.85991692543
 , , ,4,16,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),6.408473,0.5221887812526621,6035.617914915085
 , , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.930778,0.5222340765910305,6076.14844584465
 , , ,4,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,4.5770715,0.5222948714230993,6124.769978523254
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,5.6977215,0.5223479613487304,6184.0256905555725
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,8,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),8.419465500000001,0.5224630513323631,6266.294277191162
 , , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.2314005,0.5224822526217889,6291.706055641174
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.125641,0.5226484444545423,6316.3421630859375
 , , ,50,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.5550365,0.5226601181380839,6344.729874372482
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.868054,0.5226881156391332,6375.913509130478
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.020461,0.5226953003877468,6417.179290056229
 , , ,4,20,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),5.662601,0.5227063122723036,6475.645869016647
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,4, , , , ,2.0983025,0.5227531200328273,6499.667034864426
 , , ,16,16,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.270488,0.5227900554345598,6543.371113300324
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,50,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.2257415,0.5227908161815485,6577.750244855881
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.743986,0.5228177192775122,6607.900926351547
 , , ,4,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),5.43389,0.5228420451715864,6664.072836637497
 , , ,16,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.443149,0.5228717950273378,6691.128256082535
 , , ,100,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),3.9003305,0.5228780104913048,6731.542237043381
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.7318785,0.5229051416815582,6761.5328540802
 , , ,4,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,5.7902625,0.5229181443302796,6821.565573215485
 , , ,16,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),6.0747615,0.5229182874191342,6881.366603851318
 , , ,96,4,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),5.5993055,0.5229539820701944,6938.275440216064
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,8,4, , , , ,5.133358,0.5229592866878372,6991.81399345398
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),8.4586355,0.5229614388146319,7074.629441976547
 , , ,4,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),5.8943065,0.5229628779441348,7135.773359298706
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.83332,0.5229750436363827,7178.388410568237
 , , ,16,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.400601,0.5229861867293651,7205.298111438751
 , , ,16,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,8.2528505,0.5229892656277282,7286.048887491226
 , , ,80,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.233762,0.5229919932211058,7311.536477327347
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.140949,0.5229943787186732,7336.097383260727
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.2961530000000003,0.5230023430130243,7362.147766113281
 , , ,128,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.274583,0.5230195642166987,7388.105348587036
 , , ,16,64,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.2351635000000005,0.5230492269326057,7431.740513801575
 , , ,64,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.3658855,0.5230522693894438,7458.4065227508545
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.71399,0.5230647325682719,7488.058840990066
 , , ,16,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.393308,0.5230818581862905,7514.899971485138
 , , ,80,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),5.511669,0.5230843891246691,7568.796258449554
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),7.9246605,0.5230922115709294,7647.262549638748
 , , ,64,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.4357215,0.5231119728918316,7674.5258095264435
 , , ,100,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.896477,0.5231135106115243,7715.216297864914
 , , ,96,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.167684,0.5231245512045956,7739.733441829681
 , , ,16,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.4562675,0.5231248055959814,7785.110964536667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),4.0871345,0.5231265631506763,7826.989412546158
 , , ,100,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.3668105,0.5231934687918858,7853.624720573425
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,4, , , , ,3.7439235,0.5232110859820749,7894.802399158478
